store_id,store_name,store_city,store_state,store_zip,store_open_date,store_closed_date
STORE-4032,Anycompany - store-4032,Indianapolis,DC,16900,2005-01-02,9999-12-173
STORE-7865,Anycompany - store-7865,Washington,NY,39372,2005-01-02,9999-12-174
STORE-2867,Anycompany - store-2867,Denver,WA,91529,2005-01-02,9999-12-175
STORE-3029,Anycompany - store-3029,Austin,CA,76535,2005-01-02,9999-12-176
STORE-4056,Anycompany - store-4056,Los Angeles,CA,87958,2005-01-02,9999-12-177
STORE-3706,Anycompany - store-3706,Jacksonville,WA,20595,2005-01-02,9999-12-178
STORE-2803,Anycompany - store-2803,Phoenix,IL,71181,2005-01-02,9999-12-179
STORE-2077,Anycompany - store-2077,Charlotte,TX,90016,2005-01-02,9999-12-180
STORE-5317,Anycompany - store-5317,Chicago,IN,13350,2005-01-02,9999-12-181
STORE-9650,Anycompany - store-9650,Phoenix,CA,88807,2005-01-02,9999-12-182
STORE-7407,Anycompany - store-7407,Fort Worth,TX,53661,2005-01-02,9999-12-183
STORE-6230,Anycompany - store-6230,San Jose,TX,41136,2005-01-02,9999-12-184
STORE-8144,Anycompany - store-8144,Charlotte,CA,83514,2005-01-02,9999-12-185
STORE-7688,Anycompany - store-7688,Austin,AZ,93125,2005-01-02,9999-12-186
STORE-1465,Anycompany - store-1465,San Antonio,NC,41801,2005-01-02,9999-12-187
STORE-4529,Anycompany - store-4529,Washington,NC,21777,2005-01-02,9999-12-188
STORE-3395,Anycompany - store-3395,Seattle,TX,19563,2005-01-02,9999-12-189
STORE-7744,Anycompany - store-7744,Philadelphia,IN,32033,2005-01-02,9999-12-190
STORE-9860,Anycompany - store-9860,Indianapolis,AZ,28151,2005-01-02,9999-12-191
STORE-8416,Anycompany - store-8416,Phoenix,TX,86748,2005-01-02,9999-12-192
STORE-1123,Anycompany - store-1123,Houston,OH,16357,2005-01-02,9999-12-193
STORE-4816,Anycompany - store-4816,San Diego,FL,72608,2005-01-02,9999-12-194
STORE-9250,Anycompany - store-9250,Seattle,TX,14710,2005-01-02,9999-12-195
STORE-7968,Anycompany - store-7968,Philadelphia,CA,32087,2005-01-02,9999-12-196
STORE-5372,Anycompany - store-5372,San Antonio,AZ,65161,2005-01-02,9999-12-197
STORE-5978,Anycompany - store-5978,Fort Worth,CA,41664,2005-01-02,9999-12-198
STORE-6335,Anycompany - store-6335,Philadelphia,TX,83744,2005-01-02,9999-12-199
STORE-7457,Anycompany - store-7457,San Diego,AZ,87940,2005-01-02,9999-12-200
STORE-3904,Anycompany - store-3904,Fort Worth,PA,79640,2005-01-02,9999-12-201
STORE-4314,Anycompany - store-4314,Washington,PA,94011,2005-01-02,9999-12-202
STORE-2877,Anycompany - store-2877,Denver,WA,99403,2005-01-02,9999-12-203
STORE-2136,Anycompany - store-2136,Seattle,AZ,90911,2005-01-02,9999-12-204
STORE-8957,Anycompany - store-8957,Fort Worth,PA,27231,2005-01-02,9999-12-205
STORE-2715,Anycompany - store-2715,Fort Worth,OH,34477,2005-01-02,9999-12-206
STORE-2822,Anycompany - store-2822,Dallas,CA,45735,2005-01-02,9999-12-207
STORE-4255,Anycompany - store-4255,Philadelphia,CA,14621,2005-01-02,9999-12-208
STORE-9419,Anycompany - store-9419,Jacksonville,NC,98327,2005-01-02,9999-12-209
STORE-2558,Anycompany - store-2558,Seattle,CA,97712,2005-01-02,9999-12-210
STORE-1079,Anycompany - store-1079,Indianapolis,CA,40377,2005-01-02,9999-12-211
STORE-6889,Anycompany - store-6889,Houston,OH,34249,2005-01-02,9999-12-212
STORE-2607,Anycompany - store-2607,Columbus,CA,76762,2005-01-02,9999-12-213
STORE-3794,Anycompany - store-3794,San Francisco,CO,70524,2005-01-02,9999-12-214
STORE-8228,Anycompany - store-8228,San Jose,CO,85508,2005-01-02,9999-12-215
STORE-6999,Anycompany - store-6999,Houston,TX,93826,2005-01-02,9999-12-216
STORE-9164,Anycompany - store-9164,Columbus,FL,89631,2005-01-02,9999-12-217
STORE-7584,Anycompany - store-7584,Seattle,CA,34782,2005-01-02,9999-12-218
STORE-3066,Anycompany - store-3066,Dallas,CA,25445,2005-01-02,9999-12-219
STORE-3598,Anycompany - store-3598,Dallas,CA,48903,2005-01-02,9999-12-220
STORE-1971,Anycompany - store-1971,San Jose,CA,64247,2005-01-02,9999-12-221
STORE-2747,Anycompany - store-2747,Columbus,PA,28757,2005-01-02,9999-12-222
STORE-4046,Anycompany - store-4046,Seattle,OH,88161,2005-01-02,9999-12-223
STORE-5019,Anycompany - store-5019,Seattle,TX,37280,2005-01-02,9999-12-224
STORE-9857,Anycompany - store-9857,Charlotte,TX,81817,2005-01-02,9999-12-225
STORE-6158,Anycompany - store-6158,Fort Worth,IL,96283,2005-01-02,9999-12-226
STORE-9584,Anycompany - store-9584,San Francisco,FL,42122,2005-01-02,9999-12-227
STORE-2028,Anycompany - store-2028,San Jose,TX,44517,2005-01-02,9999-12-228
STORE-3694,Anycompany - store-3694,Seattle,OH,12853,2005-01-02,9999-12-229
STORE-1474,Anycompany - store-1474,Dallas,FL,40173,2005-01-02,9999-12-230
STORE-7699,Anycompany - store-7699,Charlotte,NC,23949,2005-01-02,9999-12-231
STORE-6793,Anycompany - store-6793,Philadelphia,WA,69526,2005-01-02,9999-12-232
STORE-3279,Anycompany - store-3279,Chicago,CA,85514,2005-01-02,9999-12-233
STORE-8648,Anycompany - store-8648,Austin,NY,43659,2005-01-02,9999-12-234
STORE-4052,Anycompany - store-4052,Austin,TX,94165,2005-01-02,9999-12-235
STORE-9299,Anycompany - store-9299,Los Angeles,OH,74090,2005-01-02,9999-12-236
STORE-6085,Anycompany - store-6085,Charlotte,OH,68810,2005-01-02,9999-12-237
STORE-1596,Anycompany - store-1596,Columbus,NC,16248,2005-01-02,9999-12-238
STORE-7892,Anycompany - store-7892,Columbus,IL,35997,2005-01-02,9999-12-239
STORE-2276,Anycompany - store-2276,San Antonio,TX,19145,2005-01-02,9999-12-240
STORE-4218,Anycompany - store-4218,Indianapolis,AZ,58586,2005-01-02,9999-12-241
STORE-6887,Anycompany - store-6887,Washington,CA,50303,2005-01-02,9999-12-242
STORE-5191,Anycompany - store-5191,Indianapolis,AZ,95452,2005-01-02,9999-12-243
STORE-9283,Anycompany - store-9283,Phoenix,TX,43035,2005-01-02,9999-12-244
STORE-9227,Anycompany - store-9227,San Antonio,TX,47288,2005-01-02,9999-12-245
STORE-7045,Anycompany - store-7045,Austin,OH,51726,2005-01-02,9999-12-246
STORE-2532,Anycompany - store-2532,San Antonio,TX,57989,2005-01-02,9999-12-247
STORE-1364,Anycompany - store-1364,New York,FL,61385,2005-01-02,9999-12-248
STORE-7741,Anycompany - store-7741,Houston,TX,38003,2005-01-02,9999-12-249
STORE-9570,Anycompany - store-9570,Jacksonville,NY,85604,2005-01-02,9999-12-250
STORE-9130,Anycompany - store-9130,Washington,WA,28489,2005-01-02,9999-12-251
STORE-4172,Anycompany - store-4172,Phoenix,WA,59911,2005-01-02,9999-12-252
STORE-3072,Anycompany - store-3072,Dallas,TX,35742,2005-01-03,9999-12-253
STORE-1964,Anycompany - store-1964,Dallas,CA,88436,2005-01-03,9999-12-254
STORE-4941,Anycompany - store-4941,Jacksonville,CA,74559,2005-01-03,9999-12-255
STORE-9774,Anycompany - store-9774,Houston,PA,33314,2005-01-03,9999-12-256
STORE-1627,Anycompany - store-1627,Indianapolis,CA,71490,2005-01-03,9999-12-257
STORE-6126,Anycompany - store-6126,Philadelphia,TX,49305,2005-01-03,9999-12-258
STORE-9061,Anycompany - store-9061,Philadelphia,OH,95487,2005-01-03,9999-12-259
STORE-2478,Anycompany - store-2478,Austin,TX,43313,2005-01-03,9999-12-260
STORE-1634,Anycompany - store-1634,San Diego,CA,30221,2005-01-03,9999-12-261
STORE-8427,Anycompany - store-8427,San Francisco,AZ,77942,2005-01-03,9999-12-262
STORE-8770,Anycompany - store-8770,San Jose,DC,34211,2005-01-03,9999-12-263
STORE-6831,Anycompany - store-6831,Columbus,TX,91984,2005-01-03,9999-12-264
STORE-7512,Anycompany - store-7512,Jacksonville,FL,93455,2005-01-03,9999-12-265
STORE-7441,Anycompany - store-7441,San Francisco,TX,56770,2005-01-03,9999-12-266
STORE-7903,Anycompany - store-7903,Washington,CA,95200,2005-01-03,9999-12-267
STORE-8657,Anycompany - store-8657,Indianapolis,CA,26808,2005-01-03,9999-12-268
STORE-4568,Anycompany - store-4568,Austin,CO,33079,2005-01-03,9999-12-269
STORE-6874,Anycompany - store-6874,Denver,FL,80555,2005-01-03,9999-12-270
STORE-5386,Anycompany - store-5386,San Diego,CA,38522,2005-01-03,9999-12-271
STORE-4951,Anycompany - store-4951,Washington,PA,50526,2005-01-03,9999-12-272
STORE-1632,Anycompany - store-1632,Phoenix,CA,60131,2005-01-03,9999-12-273
STORE-9778,Anycompany - store-9778,Fort Worth,OH,56222,2005-01-03,9999-12-274
STORE-6971,Anycompany - store-6971,Austin,CA,95275,2005-01-03,9999-12-275
STORE-6314,Anycompany - store-6314,Columbus,AZ,72329,2005-01-03,9999-12-276
STORE-2275,Anycompany - store-2275,San Antonio,CA,19162,2005-01-03,9999-12-277
STORE-7274,Anycompany - store-7274,Denver,IN,62380,2005-01-03,9999-12-278
STORE-3107,Anycompany - store-3107,Indianapolis,TX,38465,2005-01-03,9999-12-279
STORE-2340,Anycompany - store-2340,Charlotte,IL,39925,2005-01-03,9999-12-280
STORE-9633,Anycompany - store-9633,San Francisco,TX,19544,2005-01-03,9999-12-281
STORE-9462,Anycompany - store-9462,Phoenix,DC,50170,2005-01-03,9999-12-282
STORE-1381,Anycompany - store-1381,Los Angeles,CA,23269,2005-01-03,9999-12-283
STORE-7488,Anycompany - store-7488,Denver,NC,53899,2005-01-03,9999-12-284
STORE-1890,Anycompany - store-1890,Denver,NY,13943,2005-01-03,9999-12-285
STORE-7342,Anycompany - store-7342,Austin,IL,56455,2005-01-03,9999-12-286
STORE-5551,Anycompany - store-5551,San Antonio,TX,34641,2005-01-03,9999-12-287
STORE-3873,Anycompany - store-3873,New York,TX,16225,2005-01-03,9999-12-288
STORE-5592,Anycompany - store-5592,Houston,TX,23907,2005-01-03,9999-12-289
STORE-7682,Anycompany - store-7682,San Diego,TX,83183,2005-01-03,9999-12-290
STORE-7270,Anycompany - store-7270,Denver,CA,16976,2005-01-03,9999-12-291
STORE-7955,Anycompany - store-7955,Charlotte,TX,53413,2005-01-03,9999-12-292
STORE-2263,Anycompany - store-2263,Chicago,TX,29560,2005-01-03,9999-12-293
STORE-2940,Anycompany - store-2940,Phoenix,NC,63277,2005-01-03,9999-12-294
STORE-4810,Anycompany - store-4810,San Jose,TX,75955,2005-01-03,9999-12-295
STORE-8900,Anycompany - store-8900,Los Angeles,FL,44260,2005-01-03,9999-12-296
STORE-5288,Anycompany - store-5288,Philadelphia,TX,18059,2005-01-03,9999-12-297
STORE-8556,Anycompany - store-8556,Indianapolis,OH,33227,2005-01-03,9999-12-298
STORE-1919,Anycompany - store-1919,Austin,OH,43268,2005-01-03,9999-12-299
STORE-6734,Anycompany - store-6734,Dallas,CA,52962,2005-01-03,9999-12-300
STORE-7572,Anycompany - store-7572,Dallas,CA,19826,2005-01-03,9999-12-301
STORE-9096,Anycompany - store-9096,Denver,TX,22587,2005-01-03,9999-12-302
STORE-6014,Anycompany - store-6014,Phoenix,CA,92646,2005-01-03,9999-12-303
STORE-4479,Anycompany - store-4479,Jacksonville,IL,12398,2005-01-03,9999-12-304
STORE-2164,Anycompany - store-2164,Charlotte,TX,42157,2005-01-03,9999-12-305
STORE-6940,Anycompany - store-6940,Chicago,FL,68345,2005-01-03,9999-12-306
STORE-5495,Anycompany - store-5495,Fort Worth,CA,61138,2005-01-03,9999-12-307
STORE-2260,Anycompany - store-2260,Denver,CA,76927,2005-01-03,9999-12-308
STORE-9920,Anycompany - store-9920,Seattle,CA,17119,2005-01-03,9999-12-309
STORE-4401,Anycompany - store-4401,Dallas,CO,57920,2005-01-03,9999-12-310
STORE-6611,Anycompany - store-6611,Seattle,TX,43257,2005-01-03,9999-12-311
STORE-7043,Anycompany - store-7043,New York,CA,12883,2005-01-03,9999-12-312
STORE-4217,Anycompany - store-4217,San Antonio,IL,85583,2005-01-03,9999-12-313
STORE-8348,Anycompany - store-8348,Washington,NC,44920,2005-01-03,9999-12-314
STORE-7007,Anycompany - store-7007,Indianapolis,CO,88511,2005-01-03,9999-12-315
STORE-5964,Anycompany - store-5964,San Diego,NY,78842,2005-01-03,9999-12-316
STORE-6115,Anycompany - store-6115,Phoenix,CA,30575,2005-01-03,9999-12-317
STORE-4415,Anycompany - store-4415,Austin,TX,25222,2005-01-03,9999-12-318
STORE-4226,Anycompany - store-4226,Columbus,IL,67982,2005-01-03,9999-12-319
STORE-4639,Anycompany - store-4639,Austin,CA,64261,2005-01-03,9999-12-320
STORE-9929,Anycompany - store-9929,Phoenix,NY,18230,2005-01-03,9999-12-321
STORE-4845,Anycompany - store-4845,Chicago,TX,15807,2005-01-03,9999-12-322
STORE-4587,Anycompany - store-4587,San Francisco,TX,83320,2005-01-03,9999-12-323
STORE-2988,Anycompany - store-2988,Philadelphia,WA,47807,2005-01-03,9999-12-324
STORE-8953,Anycompany - store-8953,Philadelphia,TX,19487,2005-01-03,9999-12-325
STORE-9763,Anycompany - store-9763,Indianapolis,FL,62640,2005-01-03,9999-12-326
STORE-5200,Anycompany - store-5200,San Diego,FL,16620,2005-01-03,9999-12-327
STORE-3260,Anycompany - store-3260,San Francisco,NY,90547,2005-01-03,9999-12-328
STORE-7356,Anycompany - store-7356,San Diego,IN,34406,2005-01-03,9999-12-329
STORE-2963,Anycompany - store-2963,Charlotte,CA,30613,2005-01-03,9999-12-330
STORE-7595,Anycompany - store-7595,Houston,TX,90074,2005-01-03,9999-12-331
STORE-5477,Anycompany - store-5477,Chicago,TX,62942,2005-01-03,9999-12-332
STORE-8607,Anycompany - store-8607,Charlotte,NC,23955,2005-01-03,9999-12-333
STORE-2770,Anycompany - store-2770,San Diego,IN,77358,2005-01-03,9999-12-334
STORE-9586,Anycompany - store-9586,Denver,FL,90458,2005-01-03,9999-12-335
STORE-1169,Anycompany - store-1169,Seattle,TX,55740,2005-01-03,9999-12-336
STORE-5274,Anycompany - store-5274,Charlotte,DC,73731,2005-01-03,9999-12-337
STORE-1833,Anycompany - store-1833,Charlotte,NY,44094,2005-01-03,9999-12-338
STORE-7545,Anycompany - store-7545,Seattle,IL,71918,2005-01-03,9999-12-339
STORE-6934,Anycompany - store-6934,San Jose,CA,38045,2005-01-03,9999-12-340
STORE-5822,Anycompany - store-5822,Charlotte,TX,46188,2005-01-03,9999-12-341
STORE-9123,Anycompany - store-9123,Seattle,FL,56140,2005-01-03,9999-12-342
STORE-4335,Anycompany - store-4335,Columbus,TX,48924,2005-01-03,9999-12-343
STORE-1377,Anycompany - store-1377,San Antonio,TX,66947,2005-01-03,9999-12-344
STORE-9745,Anycompany - store-9745,San Antonio,DC,69634,2005-01-03,9999-12-345
STORE-3244,Anycompany - store-3244,Phoenix,CA,12805,2005-01-03,9999-12-346
STORE-7046,Anycompany - store-7046,Houston,FL,15818,2005-01-03,9999-12-347
STORE-5228,Anycompany - store-5228,Charlotte,CA,42122,2005-01-03,9999-12-348
STORE-4159,Anycompany - store-4159,Dallas,CA,83441,2005-01-03,9999-12-349
STORE-2848,Anycompany - store-2848,San Diego,NC,25085,2005-01-03,9999-12-350
